Period,Temperature,Effective Temperature,Wind Speed,Wind Direction,Precipitation Amount,Precipitation Type,Solar Radiation,Humidity,Cloud Cover,Demand
1,10.79999542,9.257164001,5,190,0,2,0,94,2,130.9637
2,10.79999542,9.257164001,5,190,0,2,0,94,2,110.8604
3,9.899993896,9.257164001,4,200,0,0,0,97,4,106.2719
4,9.75,9.257164001,4,200,0,0,0,96,3,94.1328
5,9.599998474,9.257164001,4,200,0,0,0,95,2,84.2772
6,9.849998474,9.257164001,4,195,0,0,0,93.5,5,74.0725
7,10.09999847,9.257164001,4,190,0,0,0,92,7,65.3415
8,9.849998474,9.257164001,4,200,0,0,0,89,6,62.2752
9,9.599998474,9.257164001,4,210,0,0,0,86,5,59.9684
10,9.549995422,9.257164001,4,215,0,0,0,84,5,55.0774
11,9.5,9.257164001,4,220,0,0,0,82,4,56.168
12,9.449996948,9.257164001,4,215,0,0,0,82,4,59.5394
13,9.399993896,9.257164001,4,210,0,0,0,82,3,64.1914
14,8.699996948,9.257164001,3.5,190,0,0,0,86,2,68.7699
15,8,9.257164001,3,170,0,0,0,90,1,71.4624
16,8.399993896,9.257164001,4.5,180,0,0,0,89,1,85.7019
17,8.799995422,9.257164001,6,190,0,0,0,88,1,97.4354
18,8.899993896,9.257164001,6,190,0,0,5,88.5,4,112.9038
19,9,9.257164001,6,190,0,0,10,89,7,126.7126
20,9.25,9.257164001,6.5,190,0,0,85,88,4,140.7148
21,9.5,9.257164001,7,190,0,0,160,87,1,154.1612
22,9.699996948,9.257164001,6.5,195,0,0,225,86,1,162.5086
23,9.899993896,9.257164001,6,200,0,0,290,85,1,171.1896
24,10.09999847,9.257164001,6.5,200,0,0,335,84,3,178.8643
25,10.29999542,9.257164001,7,200,0,0,380,83,4,193.9477
26,10.19999695,9.257164001,6.5,195,0,0,345,83,4,198.7977
27,10.09999847,9.257164001,6,190,0,0,310,83,4,188.6875
28,10,9.257164001,6.5,195,0,0,225,83,4,182.5604
29,9.899993896,9.257164001,7,200,0,0,140,83,3,181.3648
30,9.849998474,9.257164001,7,195,0,0,115,83,5,191.052
31,9.799995422,9.257164001,7,190,0,0,90,83,6,192.6649
32,9.199996948,9.257164001,5.5,210,0.199999928,0,60,86.5,6,197.855
33,8.599998474,9.257164001,4,230,0.399999857,2,30,90,5,210.4917
34,8.199996948,9.257164001,3,230,0.299999952,2,15,92.5,6,221.146
35,7.799999237,9.257164001,2,230,0.199999928,2,0,95,7,235.2617
36,7.649997711,9.257164001,2,225,0.199999928,2,0,95,7,235.0991
37,7.5,9.257164001,2,220,0.199999928,2,0,95,7,230.0707
38,7.449996948,9.257164001,2.5,220,0.099999964,2,0,94,7,223.1292
39,7.399997711,9.257164001,3,220,0,0,0,93,6,210.6324
40,6.799999237,9.257164001,3,220,0.099999964,0,0,90.5,5,199.9588
41,6.199996948,9.257164001,3,220,0.199999928,2,0,88,3,199.8197
42,6.049999237,9.257164001,3,220,0.099999964,2,0,90.5,3,190.982
43,5.899997711,9.257164001,3,220,0,0,0,93,2,177.6057
44,5.849998474,9.257164001,3.5,205,0,0,0,90.5,2,173.412
45,5.799999237,9.257164001,4,190,0,0,0,88,2,161.973
46,5.5,9.257164001,4,205,0,0,0,88.5,2,148.9952
47,5.199996948,9.257164001,4,220,0,0,0,89,2,127.715
48,4.849998474,9.257164001,3.5,220,0,0,0,90,3,109.4244
1,4.5,7.106693268,3,220,0,0,0,91,3,114.1385
2,4.5,7.106693268,3,220,0,0,0,91,3,93.4077
3,4.299999237,7.106693268,3,220,0.199999928,0,0,89,3,81.5413
4,4.25,7.106693268,3.5,210,0.099999964,0,0,88,4,74.503
5,4.199996948,7.106693268,4,200,0,0,0,87,5,71.506
6,3.849998474,7.106693268,3.5,200,0,0,0,87,5,67.2152
7,3.5,7.106693268,3,200,0,0,0,87,5,63.4001
8,3.049999237,7.106693268,3,195,0,0,0,89,3,61.3187
9,2.599998474,7.106693268,3,190,0,0,0,91,1,59.9031
10,2.899999619,7.106693268,3.5,190,0,0,0,90,4,57.9653
11,3.199998856,7.106693268,4,190,0,0,0,89,6,58.6745
12,3.199998856,7.106693268,4.5,195,0,0,0,89,4,63.8816
13,3.199998856,7.106693268,5,200,0,0,0,89,2,69.9127
14,3.149999619,7.106693268,5,220,0.399999857,0,0,91.5,4,75.2995
15,3.099998474,7.106693268,5,240,0.799999714,2,0,94,5,81.8665
16,2.399999619,7.106693268,4,225,0.399999857,2,0,94.5,3,102.0437
17,1.699999809,7.106693268,3,210,0,2,0,95,1,116.5976
18,1.75,7.106693268,3.5,205,0.099999964,2,15,94.5,1,133.7475
19,1.799999237,7.106693268,4,200,0.199999928,0,30,94,1,148.4327
20,2.449998856,7.106693268,4.5,200,0.099999964,0,160,90.5,2,159.772
21,3.099998474,7.106693268,5,200,0,0,290,87,3,166.9804
22,4.099998474,7.106693268,4,210,0,0,465,82,3,170.5732
23,5.099998474,7.106693268,3,220,0,0,640,77,3,172.0285
24,5.5,7.106693268,4,220,0,0,740,73,3,173.6708
25,5.899997711,7.106693268,5,220,0,0,840,69,3,178.8947
26,6.149997711,7.106693268,5,215,0,0,860,68,4,181.2254
27,6.399997711,7.106693268,5,210,0,0,880,67,5,178.435
28,6.699996948,7.106693268,5,220,0,0,795,65.5,4,173.8948
29,7,7.106693268,5,230,0,0,710,64,3,170.653
30,6.5,7.106693268,5,225,0,0,580,65.5,3,173.7165
31,6,7.106693268,5,220,0,0,450,67,3,180.2579
32,5.699996948,7.106693268,4.5,220,0,0,280,69,3,191.8829
33,5.399997711,7.106693268,4,220,0,0,110,71,3,213.7945
34,4.849998474,7.106693268,5,210,0,0,55,73.5,4,246.0676
35,4.299999237,7.106693268,6,200,0,0,0,76,4,265.3956
36,3.949998856,7.106693268,6,205,0,0,0,80.5,4,268.2757
37,3.599998474,7.106693268,6,210,0,0,0,85,4,264.2663
38,3.549999237,7.106693268,6,200,0,0,0,87,3,256.6388
39,3.5,7.106693268,6,190,0,0,0,89,1,247.4614
40,3.449998856,7.106693268,6,195,0,0,0,88,2,235.9669
41,3.399999619,7.106693268,6,200,0,0,0,87,3,218.8429
42,3.599998474,7.106693268,6,205,0,0,0,86,4,210.0053
43,3.799999237,7.106693268,6,210,0,0,0,85,4,201.7786
44,3.849998474,7.106693268,6,200,0,0,0,88,3,186.7792
45,3.899999619,7.106693268,6,190,0,2,0,91,1,171.8243
46,4.049999237,7.106693268,5.5,185,0,2,0,92,1,149.1668
47,4.199996948,7.106693268,5,180,0,0,0,93,1,128.5329
48,4.599998474,7.106693268,6,185,0,0,0,91.5,4,109.9718
1,5,7.009025574,7,190,0,0,0,90,6,108.6539
2,5,7.009025574,7,190,0,0,0,90,6,78.8254
3,6.099998474,7.009025574,10,200,0,0,0,88,3,74.1966
4,6.299999237,7.009025574,10,190,0,0,0,89,5,67.1861
5,6.5,7.009025574,10,180,0,2,0,90,6,63.8264
6,6.649997711,7.009025574,9.5,180,0.899999619,2,0,93,7,62.4535
7,6.799999237,7.009025574,9,180,1.799999237,0,0,96,7,57.6093
8,7.549999237,7.009025574,10,185,1.399999619,0,0,95.5,7,56.5788
9,8.299995422,7.009025574,11,190,1,0,0,95,7,55.0578
10,8.849998474,7.009025574,11,195,0.699999809,0,0,95,8,53.5906
11,9.399993896,7.009025574,11,200,0.399999857,2,0,95,8,57.2701
12,9.699996948,7.009025574,11,200,0.399999857,2,0,94.5,7,67.3119
13,10,7.009025574,11,200,0.399999857,2,0,94,6,78.9573
14,10.29999542,7.009025574,11,205,0.299999952,2,0,93,7,96.7583
15,10.59999847,7.009025574,11,210,0.199999928,2,0,92,7,113.2313
16,10.44999695,7.009025574,11,205,0.199999928,2,0,93.5,7,145.3489
17,10.29999542,7.009025574,11,200,0.199999928,2,0,95,7,157.4905
18,10.3999939,7.009025574,10.5,200,0.299999952,2,5,96,7,159.2329
19,10.5,7.009025574,10,200,0.399999857,2,10,97,6,165.7429
20,9.199996948,7.009025574,10.5,235,2.199998856,2,20,94,6,170.3343
21,7.899997711,7.009025574,11,270,4,0,30,91,5,171.6838
22,7.75,7.009025574,9,255,2.099998474,0,40,85,6,171.406
23,7.599998474,7.009025574,7,240,0.199999928,2,50,79,7,171.8919
24,7.549999237,7.009025574,6.5,230,0.099999964,2,70,80.5,7,172.5365
25,7.5,7.009025574,6,220,0,2,90,82,7,172.5003
26,7.649997711,7.009025574,7.5,235,0.5,2,305,78.5,6,169.957
27,7.799999237,7.009025574,9,250,1,2,520,75,4,171.0769
28,7.5,7.009025574,11.5,255,0.5,2,580,69,4,168.6231
29,7.199996948,7.009025574,14,260,0,0,640,63,4,166.5679
30,6.399997711,7.009025574,12,255,0.099999964,0,400,70,4,172.3121
31,5.599998474,7.009025574,10,250,0.199999928,2,160,77,4,178.167
32,5.75,7.009025574,9.5,255,0.099999964,2,145,70.5,4,191.3311
33,5.899997711,7.009025574,9,260,0,0,130,64,3,209.1216
34,5.549999237,7.009025574,8,255,0,0,65,66.5,3,242.2261
35,5.199996948,7.009025574,7,250,0,0,0,69,3,271.2944
36,5.299999237,7.009025574,6.5,240,0,0,0,68,4,278.7036
37,5.399997711,7.009025574,6,230,0,0,0,67,5,278.8911
38,5.299999237,7.009025574,6,235,0,0,0,68.5,3,276.3177
39,5.199996948,7.009025574,6,240,0,0,0,70,1,261.4739
40,5.149997711,7.009025574,5.5,235,0,0,0,69.5,3,249.5991
41,5.099998474,7.009025574,5,230,0,0,0,69,4,232.6834
42,5,7.009025574,5,230,0,0,0,70.5,3,222.2299
43,4.899997711,7.009025574,5,230,0,0,0,72,2,211.3195
44,5.5,7.009025574,7,240,0,0,0,68.5,3,197.2128
45,6.099998474,7.009025574,9,250,0,2,0,65,4,179.22
46,4.75,7.009025574,9.5,260,0.299999952,2,0,77.5,5,153.2543
47,3.399999619,7.009025574,10,270,0.599999905,2,0,90,5,128.9547
48,3.949998856,7.009025574,9.5,265,0.399999857,2,0,84,4,110.5651
1,4.5,6.745025635,9,260,0.199999928,2,0,78,2,110.436
2,4.5,6.745025635,9,260,0.199999928,2,0,78,2,87.4617
3,4.699996948,6.745025635,8,280,0,0,0,74,2,78.2767
4,4.699996948,6.745025635,7.5,270,0,0,0,74,3,72.5941
5,4.699996948,6.745025635,7,260,0,0,0,74,3,69.9842
6,4.549999237,6.745025635,6,255,0,0,0,73.5,3,67.5985
7,4.399997711,6.745025635,5,250,0,0,0,73,2,65.1623
8,4.299999237,6.745025635,5,250,0,0,0,73.5,2,62.9264
9,4.199996948,6.745025635,5,250,0,0,0,74,1,62.13
10,4.399997711,6.745025635,5.5,255,0,0,0,73.5,2,61.6129
